repo,stars,forks,size_kb,lines_of_code,avg_complexity,dependencies
facebook/react,240561,49851,1227497,371950,0.0,382
trekhleb/javascript-algorithms,193978,30955,14893,12429,0.0,0
airbnb/javascript,147795,26799,3724,735,0.0,2
f/awesome-chatgpt-prompts,136481,18150,1700,2168,0.0,0
vercel/next.js,135626,29831,2405392,844493,2.909090909090909,1558
Chalarangelo/30-seconds-of-code,125759,12369,742571,5076,0.0,0
open-webui/open-webui,115144,16086,292943,56598,4.283590015932023,91
nodejs/node,114279,33763,1375057,1247954,0.0,490
mrdoob/three.js,109347,36068,1521694,272631,0.0,0
axios/axios,108217,11411,21782,9415,0.0,15
facebook/create-react-app,103849,27162,25186,8375,0.0,159
mui/material-ui,97283,32733,700366,409080,0.0,498
microsoft/Web-Dev-For-Beginners,94210,14679,1691118,2601,1.4545454545454546,10
ryanmcdermott/clean-code-javascript,94019,12493,520,0,0.0,0
jaywcjlove/awesome-mac,93194,7041,24465,0,0.0,0
